,标题,学校,门类/专业,招生人数,发布时间,链接
21,河南理工大学能源学院苏老师接收矿业工程研究生调剂,河南理工,工学 -> 计算机科学与技术  -> 计算机软件与理论,2,2020-05-13 17:00,http://muchong.com/t-14249787-1
22,扩招：佳木斯大学计算机硕士点（信息电子技术学院），赵老师课题组扩招调剂硕士生,佳木斯大学,工学 -> 计算机科学与技术  ,2,2020-05-12 12:07,http://muchong.com/t-14247228-1
23,华北电力大学（保定）接收调剂研究生,华北电力大学（保定）,工学 -> 计算机科学与技术  -> 计算机应用技术,6,2020-05-12 08:35,http://muchong.com/t-14246647-1
24,黑龙江大学数据科学与技术学院（网安，信息统计）招调剂,黑龙江大学,工学 -> 计算机科学与技术  -> 计算机软件与理论,5,2020-05-11 15:44,http://muchong.com/t-14245664-1
25,香港中文大学工程学院 招博士生,香港中文大学,工学 -> 计算机科学与技术  ,0,2020-05-11 11:28,http://muchong.com/t-14245122-1
26,山东农大接收调剂研究生,山东农大,工学 -> 计算机科学与技术  -> 计算机应用技术,1,2020-05-10 17:12,http://muchong.com/t-14243857-1
27,华北电力大学（北京）接收调剂研究生,华北电力大学（北京）,工学 -> 计算机科学与技术  -> 计算机应用技术,6,2020-05-09 14:32,http://muchong.com/t-14242104-1
28,中北大学山西省有色金属液态成型工程技术研究中心招收博士和硕士研究生信息,中北大学,工学 -> 计算机科学与技术  -> 计算机应用技术,13,2020-05-08 23:05,http://muchong.com/t-14241084-1
29,无损检测与光电传感技术及应用国家工程实验室(南昌航空大学)2020年研究生调剂信息,南昌航空大学,工学 -> 计算机科学与技术  ,15,2020-05-08 16:21,http://muchong.com/t-14240502-1
30,齐齐哈尔大学计算机应用技术招收调剂研究生,齐齐哈尔大学,工学 -> 计算机科学与技术  -> 计算机应用技术,2,2020-05-04 23:45,http://muchong.com/t-14233843-1
31,请删除本贴,中央民族大学,工学 -> 计算机科学与技术  -> 计算机系统结构,1,2020-05-03 22:50,http://muchong.com/t-14232372-1
32,感谢关注，此次调剂工作已完成,华南农业大学,工学 -> 计算机科学与技术  -> 计算机应用技术,6,2020-04-30 21:16,http://muchong.com/t-14228297-1
33,黑龙江大学网络空间安全（信息隐藏，取证，工控系统安全，图像处理，密码学）招调剂,黑龙江大学,工学 -> 计算机科学与技术  -> 计算机软件与理论,0,2020-04-29 15:46,http://muchong.com/t-14226024-1
34,苏州科技大学电子与信息工程学院2020年硕士研究生招生拟接收调剂专业公告,苏州科技大学,工学 -> 计算机科学与技术  ,0,2020-04-27 09:30,http://muchong.com/t-14220782-1
